Team 2: Rachelle Burgos, Bahi Berk Gulay										
										
Attributes	Domain	Type	Domain Example	DB Name	Is it atomic?	Is it part of a repeating group?	Group ID	Table/Entity	Primary Key	Foreign Key
MEDIA_ID	Reference to MEDIA_ID in the Media table	CHAR(36)	728	MEDIA_ID	TRUE	FALSE	CITY	CITY	FALSE	TRUE
CITY_POPULATION	Non-negative integers	unsigned int	90,000	CITY_POPULATION	TRUE	FALSE	CITY	CITY	FALSE	FALSE
City Transportation										
TRANSPORTATION_ID	Unique identifiers	CHAR(36)	411	TRANSPORTATION_ID	TRUE	FALSE	CITY_TRANSP	CITY_TRANSP	TRUE	FALSE
CITY_ID	References to CITY_ID in the City table	CHAR(36)	399	CITY_ID	TRUE	FALSE	CITY_TRANSP	CITY_TRANSP	FALSE	TRUE
TRANSPORTATION_DETAILS_ID	References to TRANSPORTATION_DETAILS_ID in the Transportation Details table	CHAR(36)	29	TRANSPORTATION_DETAILS_ID	TRUE	FALSE	CITY_TRANSP	CITY_TRANSP	FALSE	TRUE
Transportation Details										
TRANSPORTATION_DETAILS_ID	Unique identifiers	CHAR(36)	224	TRANSPORTATION_DETAILS_ID	TRUE	FALSE	TRANSP_MODE	TRANSP_MODE	TRUE	FALSE
TRANSPORTATION_HOURS_ID	Reference to TRANSPORTATION_HOURS_ID in the Transportation Hours table	CHAR(36)	114	TRANSPORTATION_HOURS_ID	TRUE	FALSE	TRANSP_MODE	TRANSP_MODE	FALSE	TRUE
TRANSPORTATION_TYPE	Enum type (Bus, Train, Bike, etc.)	enum	Bus	TRANSPORTATION_TYPE	TRUE	FALSE	TRANSP_MODE	TRANSP_MODE	FALSE	FALSE
TRANSPORTATION_ACCESSIBILITY_ID	Reference to TRANSPORTATION_ACCESSIBILITY_ID in the Transportation Accessibility Information table	CHAR(36)	331	TRANSPORTATION_ACCESSIBILITY_ID	TRUE	FALSE	TRANSP_MODE	TRANSP_MODE	FALSE	TRUE
TRANSPORTATION_MAX_PRICE	Monetary values	decimal(10,2)	$10.00	TRANSPORTATION_MAX_PRICE	TRUE	FALSE	TRANSP_MODE	TRANSP_MODE	FALSE	FALSE
TRANSPORTATION_MIN_PRICE	Monetary values	decimal(10,2)	$3.00	TRANSPORTATION_MIN_PRICE	TRUE	FALSE	TRANSP_MODE	TRANSP_MODE	FALSE	FALSE
MEDIA_ID	Reference to MEDIA_ID in the Media table	CHAR(36)	89	MEDIA_ID	TRUE	FALSE	TRANSP_MODE	TRANSP_MODE	FALSE	TRUE
Transportation Operating Hours										
TRANSPORTATION_HOURS_ID	Unique identifiers	CHAR(36)	357	TRANSPORTATION_HOURS_ID	TRUE	FALSE	TRANSP_OPER_HRS	TRANSP_OPER_HRS	TRUE	FALSE
DAY_OF_WEEK	Enum type (Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday)	enum	Monday	DAY_OF_WEEK	TRUE	FALSE	TRANSP_OPER_HRS	TRANSP_OPER_HRS	FALSE	FALSE
OPEN_TIME	Time	time	6:00 AM	OPEN_TIME	TRUE	FALSE	TRANSP_OPER_HRS	TRANSP_OPER_HRS	FALSE	FALSE
CLOSE_TIME	Time	time	6:00 PM	CLOSE_TIME	TRUE	FALSE	TRANSP_OPER_HRS	TRANSP_OPER_HRS	FALSE	FALSE
Transportation Accessibility Information										
TRANSPORTATION_ACCESSIBILITY_ID	Unique identifiers	CHAR(36)	717	TRANSPORTATION_ACCESSIBILITY_ID	TRUE	FALSE	TRANSP_ACCESS_INFO	TRANSP_ACCESS_INFO	TRUE	FALSE
TRANSPORTATION_DETAILS_ID	Reference to TRANSPORTATION_DETAILS_ID in THE TRANSPORTATION_DETAILS table	CHAR(36)	284	TRANSPORTATION_DETAILS_ID	TRUE	FALSE	TRANSP_ACCESS_INFO	TRANSP_ACCESS_INFO	FALSE	TRUE
WHEELCHAIR_ACCESSIBLE	Boolean value	bool	FALSE	WHEELCHAIR_ACCESSIBLE	TRUE	FALSE	TRANSP_ACCESS_INFO	TRANSP_ACCESS_INFO	FALSE	FALSE
HEARING_AID_COMPATIVILITY	Boolean value	bool	TRUE	HEARING_AID_COMPATIVILITY	TRUE	FALSE	TRANSP_ACCESS_INFO	TRANSP_ACCESS_INFO	FALSE	FALSE
VISUAL_AID_SUPPORT	Boolean value	bool	FALSE	VISUAL_AID_SUPPORT	TRUE	FALSE	TRANSP_ACCESS_INFO	TRANSP_ACCESS_INFO	FALSE	FALSE
STEP_FREE_ACCESS	Boolean value	bool	TRUE	STEP_FREE_ACCESS	TRUE	FALSE	TRANSP_ACCESS_INFO	TRANSP_ACCESS_INFO	FALSE	FALSE
STAFF_ASSISTANCE_AVAILABLE	Boolean value	bool	FALSE	STAFF_ASSISTANCE_AVAILABLE	TRUE	FALSE	TRANSP_ACCESS_INFO	TRANSP_ACCESS_INFO	FALSE	FALSE
ACCESSIBLE_BATHROOMS	Boolean value	bool	TRUE	ACCESSIBLE_BATHROOMS	TRUE	FALSE	TRANSP_ACCESS_INFO	TRANSP_ACCESS_INFO	FALSE	FALSE
SERVICE_ANIMAL_FRIENDLY	Boolean value	bool	FALSE	SERVICE_ANIMAL_FRIENDLY	TRUE	FALSE	TRANSP_ACCESS_INFO	TRANSP_ACCESS_INFO	FALSE	FALSE
AUDIO_ANNOUNCEMENTS	Boolean value	bool	TRUE	AUDIO_ANNOUNCEMENTS	TRUE	FALSE	TRANSP_ACCESS_INFO	TRANSP_ACCESS_INFO	FALSE	FALSE
RAMP_AVAILABILITY	Boolean value	bool	FALSE	RAMP_AVAILABILITY	TRUE	FALSE	TRANSP_ACCESS_INFO	TRANSP_ACCESS_INFO	FALSE	FALSE
PRIORITY_SEATING	Boolean value	bool	TRUE	PRIORITY_SEATING	TRUE	FALSE	TRANSP_ACCESS_INFO	TRANSP_ACCESS_INFO	FALSE	FALSE
ELEVATORS_AVAILABLE	Boolean value	bool	FALSE	ELEVATORS_AVAILABLE	TRUE	FALSE	TRANSP_ACCESS_INFO	TRANSP_ACCESS_INFO	FALSE	FALSE
ESCALATORS_AVAILABLE	Boolean value	bool	TRUE	ESCALATORS_AVAILABLE	TRUE	FALSE	TRANSP_ACCESS_INFO	TRANSP_ACCESS_INFO	FALSE	FALSE
OTHER_DETAILS	Textual details	varchar(500)	FALSE	OTHER_DETAILS	TRUE	FALSE	TRANSP_ACCESS_INFO	TRANSP_ACCESS_INFO	FALSE	FALSE
Activity										
ACTIVITY_ID	Unique identifiers	CHAR(36)	250	ACTIVITY_ID	TRUE	FALSE	ACTIVITY	ACTIVITY	TRUE	FALSE
CITY_ID	References to CITY_ID in the City table	CHAR(36)	402	CITY_ID	TRUE	FALSE	ACTIVITY	ACTIVITY	FALSE	TRUE
ACTIVITY_DETAILS_ID	References to ACTIVITY_DETAILS_ID in the Activity Details table	CHAR(36)	799	ACTIVITY_DETAILS_ID	TRUE	FALSE	ACTIVITY	ACTIVITY	FALSE	TRUE
Activity Reviews										
ACTIVITY_REVIEW_ID	Unique identifiers	CHAR(36)	862	ACTIVITY_REVIEW_ID	TRUE	FALSE	ACTIV_REVIEW	ACTIV_REVIEW	TRUE	FALSE
ACTIVITY_ID	References to ACTIVITY_ID in the Activity table	CHAR(36)	195	ACTIVITY_ID	TRUE	FALSE	ACTIV_REVIEW	ACTIV_REVIEW	FALSE	TRUE
USER_ID	References to USER_ID in the User table	CHAR(36)	27	USER_ID	TRUE	FALSE	ACTIV_REVIEW	ACTIV_REVIEW	FALSE	TRUE
MEDIA_ID	Reference to MEDIA_ID in the Media table	CHAR(36)	851	MEDIA_ID	TRUE	FALSE	ACTIV_REVIEW	ACTIV_REVIEW	FALSE	TRUE
ACTIVITY_RATING	Any floating-point number between 0 to 5 for ratings, inclusive	tinyint	3	ACTIVITY_RATING	TRUE	FALSE	ACTIV_REVIEW	ACTIV_REVIEW	FALSE	FALSE
ACTIVITY_AMOUNT_SPENT	Monetary values	decimal(10,2)	$10.00	ACTIVITY_AMOUNT_SPENT	TRUE	FALSE	ACTIV_REVIEW	ACTIV_REVIEW	FALSE	FALSE
ACTIVITY_REVIEW_TITLE	All character strings with a maximum length of 100 characters	varchar(100)	Lorem Ipsum	ACTIVITY_REVIEW_TITLE	TRUE	FALSE	ACTIV_REVIEW	ACTIV_REVIEW	FALSE	FALSE
ACTIVITY_REVIEW_BODY	All character strings with a maximum length of 500 characters	varchar(500)	Lorem Ipsum	ACTIVITY_REVIEW_BODY	TRUE	FALSE	ACTIV_REVIEW	ACTIV_REVIEW	FALSE	FALSE
ACTIVITY_REVIEW_DATE	Datetimes	datetime	Jan. 2023	ACTIVITY_REVIEW_DATE	TRUE	FALSE	ACTIV_REVIEW	ACTIV_REVIEW	FALSE	FALSE
Activity Operating Hours										
ACTIVITY_HOURS_ID	Unique identifiers	CHAR(36)	222	ACTIVITY_HOURS_ID	TRUE	FALSE	ACTIV_OPER_HRS	ACTIV_OPER_HRS	TRUE	FALSE
DAY_OF_WEEK	Enum type (Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday)	enum	Monday	DAY_OF_WEEK	TRUE	FALSE	ACTIV_OPER_HRS	ACTIV_OPER_HRS	TRUE	FALSE
OPEN_TIME	Time	time	6:00 AM	OPEN_TIME	TRUE	FALSE	ACTIV_OPER_HRS	ACTIV_OPER_HRS	FALSE	FALSE
CLOSE_TIME	Time	time	6:00 PM	CLOSE_TIME	TRUE	FALSE	ACTIV_OPER_HRS	ACTIV_OPER_HRS	FALSE	FALSE
Activity History										
ACTIVITY_HISTORY_ID	Unique identifiers	CHAR(36)	1000	ACTIVITY_HISTORY_ID	TRUE	FALSE	ACTIV_HISTORY	ACTIV_HISTORY	TRUE	FALSE
USER_ID	References to USER_ID in the User table	CHAR(36)	836	USER_ID	TRUE	FALSE	ACTIV_HISTORY	ACTIV_HISTORY	FALSE	TRUE
ACTIVITY_ID	References to ACTIVITY_ID in the Activity table	CHAR(36)	148	ACTIVITY_ID	TRUE	FALSE	ACTIV_HISTORY	ACTIV_HISTORY	FALSE	TRUE
ACTIVITY_ACTION_DATE	Datetimes	datetime	Jan. 1 2023 16:00:00	ACTIVITY_ACTION_DATE	TRUE	FALSE	ACTIV_HISTORY	ACTIV_HISTORY	FALSE	FALSE
ACTION_TYPE	Enum type (VISITED, NOT_VISITED, CANCELLED, POSTPONED, SAVED)	enum	Viewed	ACTION_TYPE	TRUE	FALSE	ACTIV_HISTORY	ACTIV_HISTORY	FALSE	FALSE
Activity Details										
ACTIVITY_ID	Unique identifiers	CHAR(36)	303	ACTIVITY_ID	TRUE	FALSE	ACTIV_DETAIL	ACTIV_DETAIL	TRUE	FALSE
ACTIVITY_NAME	All character strings with a maximum length of 100 characters.	varchar(100)	Lorem Ipsum	ACTIVITY_NAME	TRUE	FALSE	ACTIV_DETAIL	ACTIV_DETAIL	FALSE	FALSE
ACTIVITY_HOURS_ID	References to ACTIVITY_HOURS_ID in the Activity Hours table	CHAR(36)	630	ACTIVITY_HOURS_ID	TRUE	FALSE	ACTIV_DETAIL	ACTIV_DETAIL	FALSE	TRUE
ACTIVITY_AVG_PRICE	Monetary values	decimal(10,2)	$10	ACTIVITY_AVG_PRICE	TRUE	FALSE	ACTIV_DETAIL	ACTIV_DETAIL	FALSE	FALSE
ACTIVITY_DESCRIPTION	All character strings with a maximum length of 500 characters	varchar(500)	Lorem Ipsum	ACTIVITY_DESCRIPTION	TRUE	FALSE	ACTIV_DETAIL	ACTIV_DETAIL	FALSE	FALSE
ACTIVITY_WEBSITE_URL	Valid URLs	varchar(500)	https://foo-bar.com	ACTIVITY_WEBSITE_URL	TRUE	FALSE	ACTIV_DETAIL	ACTIV_DETAIL	FALSE	FALSE
ACTIVITY_PHONE	All character strings representing phone numbers with a maximum length of 20 characters	varchar(20)	1 234-567-8910	ACTIVITY_PHONE	TRUE	FALSE	ACTIV_DETAIL	ACTIV_DETAIL	FALSE	FALSE
ACTIVITY_AVG_RATING	Any floating-point number between 0 to 5 for ratings, inclusive	float	3.5	ACTIVITY_AVG_RATING	TRUE	FALSE	ACTIV_DETAIL	ACTIV_DETAIL	FALSE	FALSE
ACTIVITY_DATE_ADDED	Datetimes	datetime	Jan. 1 2023 16:00:00	ACTIVITY_DATE_ADDED	TRUE	FALSE	ACTIV_DETAIL	ACTIV_DETAIL	FALSE	FALSE
ACTIVITY_LAST_UPDATED	Datetimes	datetime	Jan. 1 2023 16:00:00	ACTIVITY_LAST_UPDATED	TRUE	FALSE	ACTIV_DETAIL	ACTIV_DETAIL	FALSE	FALSE
Accommodations										
ACCOMMODATION_ID	Unique identifiers	CHAR(36)	330	ACCOMMODATION_ID	TRUE	FALSE	ACCOMMODATIONS	ACCOMMODATIONS	TRUE	FALSE
CITY_ID	References to CITY_ID in the City table	CHAR(36)	690	CITY_ID	TRUE	FALSE	ACCOMMODATIONS	ACCOMMODATIONS	FALSE	TRUE
ACCOMMODATIONS_DETAIL_ID	References to DETAIL_ID in the Detail table	CHAR(36)	521	ACCOMMODATIONS_DETAIL_ID	TRUE	FALSE	ACCOMMODATIONS	ACCOMMODATIONS	FALSE	TRUE
Accommodation Reviews										
ACCOMMODATION_REVIEW_ID	Unique identifiers	CHAR(36)	114	ACCOMMODATION_REVIEW_ID	TRUE	FALSE	ACCOMM_REVIEW	ACCOMM_REVIEW	TRUE	FALSE
ACCOMMODATION_ID	References to ACCOMMODATION_ID in the Accommodation table	CHAR(36)	950	ACCOMMODATION_ID	TRUE	FALSE	ACCOMM_REVIEW	ACCOMM_REVIEW	FALSE	TRUE
USER_ID	References to USER_ID in the User table	CHAR(36)	82	USER_ID	TRUE	FALSE	ACCOMM_REVIEW	ACCOMM_REVIEW	FALSE	TRUE
MEDIA_ID	Reference to MEDIA_ID in the Media table	CHAR(36)	330	MEDIA_ID	TRUE	FALSE	ACCOMM_REVIEW	ACCOMM_REVIEW	FALSE	TRUE
ACCOMMODATION_RATING	Any floating-point number between 0 to 5 for ratings, inclusive	tinyint	3.5	ACCOMMODATION_RATING	TRUE	FALSE	ACCOMM_REVIEW	ACCOMM_REVIEW	FALSE	FALSE
ACCOMMODATION_AMOUNT_SPENT	Monetary valuess	decimal(10,2)	$10.00	ACCOMMODATION_AMOUNT_SPENT	TRUE	FALSE	ACCOMM_REVIEW	ACCOMM_REVIEW	FALSE	FALSE
ACCOMMODATION_REVIEW_TITLE	All character strings with a maximum length of 100 characters	varchar(100)	Lorem Ipsum	ACCOMMODATION_REVIEW_TITLE	TRUE	FALSE	ACCOMM_REVIEW	ACCOMM_REVIEW	FALSE	FALSE
ACCOMMODATION_REVIEW_BODY	All character strings with a maximum length of 500 characters	varchar(500)	Lorem Ipsum	ACCOMMODATION_REVIEW_BODY	TRUE	FALSE	ACCOMM_REVIEW	ACCOMM_REVIEW	FALSE	FALSE
ACCOMMODATION_REVIEW_DATE	Datetimes	datetime	Jan. 2023	ACCOMMODATION_REVIEW_DATE	TRUE	FALSE	ACCOMM_REVIEW	ACCOMM_REVIEW	FALSE	FALSE
Accommodation History										
ACCOMMODATION_HISTORY_ID	Unique identifiers	CHAR(36)	582	ACCOMMODATION_HISTORY_ID	TRUE	FALSE	ACCOM_HISTORY	ACCOM_HISTORY	TRUE	FALSE
USER_ID	References to USER_ID in the User table	CHAR(36)	617	USER_ID	TRUE	FALSE	ACCOM_HISTORY	ACCOM_HISTORY	FALSE	TRUE
ACCOMMODATION_ID	References to ACCOMMODATION_ID in the Accommodation table	CHAR(36)	521	ACCOMMODATION_ID	TRUE	FALSE	ACCOM_HISTORY	ACCOM_HISTORY	FALSE	TRUE
ACCOMMODATION_ACTION_DATE	Datetimes	datetime	1/1/2023 16:00:00	ACCOMMODATION_ACTION_DATE	TRUE	FALSE	ACCOM_HISTORY	ACCOM_HISTORY	FALSE	FALSE
Accommodation Details										
ACCOMMODATION_ID	Unique identifiers	CHAR(36)	521	ACCOMMODATION_ID	TRUE	FALSE	ACCOM_DETAILS	ACCOM_DETAILS	TRUE	FALSE
ACCOMMODATION_NAME	All character strings with a maximum length of 100 characters	varchar(100)	Lorem Ipsum	ACCOMMODATION_NAME	TRUE	FALSE	ACCOM_DETAILS	ACCOM_DETAILS	FALSE	FALSE
MEDIA_ID	Reference to MEDIA_ID in the Media table	CHAR(36)		MEDIA_ID	TRUE	FALSE	ACCOM_DETAILS	ACCOM_DETAILS	FALSE	TRUE
ACCOMMODATION_AVG_PRICE	Monetary valuess	decimal(10,2)	$10.00	ACCOMMODATION_AVG_PRICE	TRUE	FALSE	ACCOM_DETAILS	ACCOM_DETAILS	FALSE	FALSE
ACCOMMODATION_DESCRIPTION	All character strings with a maximum length of 500 characters	varchar(500)	Lorem Ipsum	ACCOMMODATION_DESCRIPTION	TRUE	FALSE	ACCOM_DETAILS	ACCOM_DETAILS	FALSE	FALSE
ACCOMMODATION_WEBSITE_URL	Valid URLs	varchar(500)	Lorem Ipsum	ACCOMMODATION_WEBSITE_URL	TRUE	FALSE	ACCOM_DETAILS	ACCOM_DETAILS	FALSE	FALSE
ACCOMMODATION_PHONE	All character strings representing phone numbers with a maximum length of 20 characters	varchar(20)	https://foo-bar.com	ACCOMMODATION_PHONE	TRUE	FALSE	ACCOM_DETAILS	ACCOM_DETAILS	FALSE	FALSE
ACCOMMODATION_TYPE	Enum type (HOTEL, MOTEL, HOSTEL, etc.)	enum	Viewed	ACCOMMODATION_TYPE	TRUE	FALSE	ACCOM_HISTORY	ACCOM_HISTORY	FALSE	FALSE
ACCOMMODATION_AVG_RATING	Any floating-point number between 0 to 5 for ratings, inclusive	tinyint	3.5	ACCOMMODATION_AVG_RATING	TRUE	FALSE	ACCOM_DETAILS	ACCOM_DETAILS	FALSE	FALSE
ACCOMMODATION_DATE_ADDED	Datetimes	datetime	1/1/2023 16:00:00	ACCOMMODATION_DATE_ADDED	TRUE	FALSE	ACCOM_DETAILS	ACCOM_DETAILS	FALSE	FALSE
ACCOMMODATION_LAST_UPDATED	Datetimes	datetime	1/1/2023 16:00:00	ACCOMMODATION_LAST_UPDATED	TRUE	FALSE	ACCOM_DETAILS	ACCOM_DETAILS	FALSE	FALSE
Event										
EVENT_ID	Unique identifiers	CHAR(36)	139	EVENT_ID	TRUE	FALSE	EVENT	EVENT	TRUE	FALSE
CITY_ID	References to CITY_ID in the City table	CHAR(36)	698	CITY_ID	TRUE	FALSE	EVENT	EVENT	FALSE	TRUE
EVENT_DETAIL_ID	All character strings with a maximum length of 100 characters	varchar(100)	491	EVENT_DETAIL_ID	TRUE	FALSE	EVENT	EVENT	FALSE	FALSE
Event History										
EVENT_HISTORY_ID	Unique identifiers	CHAR(36)	957	EVENT_HISTORY_ID	TRUE	FALSE	EVENT_HISTORY	EVENT_HISTORY	TRUE	FALSE
USER_ID	References to USER_ID in the User table	CHAR(36)	769	USER_ID	TRUE	FALSE	EVENT_HISTORY	EVENT_HISTORY	FALSE	TRUE
EVENT_ID	References to EVENT_ID in the Event table	CHAR(36)	664	EVENT_ID	TRUE	FALSE	EVENT_HISTORY	EVENT_HISTORY	FALSE	TRUE
EVENT_ACTION_DATE	Datetimes	datetime	1/1/2023 16:00:00	EVENT_ACTION_DATE	TRUE	FALSE	EVENT_HISTORY	EVENT_HISTORY	FALSE	FALSE
Event Details										
EVENT_ID	Unique identifiers	CHAR(36)	152	EVENT_ID	TRUE	FALSE	EVENT_DETAILS	EVENT_DETAILS	TRUE	FALSE
EVENT_HOURS_ID	Reference to EVENT_HOURS_ID in the Event Operating Hours table	CHAR(36)	509	EVENT_HOURS_ID	TRUE	FALSE	EVENT_DETAILS	EVENT_DETAILS	FALSE	TRUE
EVENT_NAME	All character strings with a maximum length of 100 characters	varchar(100)	Lorem Ipsum	EVENT_NAME	TRUE	FALSE	EVENT_DETAILS	EVENT_DETAILS	FALSE	FALSE
EVENT_AVG_PRICE	Any floating-point number between 0 to 5 for ratings, inclusive	decimal(10,2)	$10.00	EVENT_AVG_PRICE	TRUE	FALSE	EVENT_DETAILS	EVENT_DETAILS	FALSE	FALSE
EVENT_DESCRIPTION	All character strings with a maximum length of 500 characters	varchar(500)	Lorem Ipsum	EVENT_DESCRIPTION	TRUE	FALSE	EVENT_DETAILS	EVENT_DETAILS	FALSE	FALSE
EVENT_WEBSITE_URL	Valid URLs	varchar(500)	Lorem Ipsum	EVENT_WEBSITE_URL	TRUE	FALSE	EVENT_DETAILS	EVENT_DETAILS	FALSE	FALSE
MEDIA_ID	Reference to MEDIA_ID in the Media table	CHAR(36)	314		TRUE	FALSE	EVENT_DETAILS	EVENT_DETAILS	FALSE	TRUE
EVENT_PHONE	All character strings representing phone numbers with a maximum length of 20 characters	varchar(20)	https://foo-bar.com	EVENT_PHONE	TRUE	FALSE	EVENT_DETAILS	EVENT_DETAILS	FALSE	FALSE
EVENT_START_DATE	Dates	date	1/1/2023 16:00:00	EVENT_START_DATE	TRUE	FALSE	EVENT_DETAILS	EVENT_DETAILS	FALSE	FALSE
EVENT_END_DATE	Dates	date	1/1/2023 16:00:00	EVENT_END_DATE	TRUE	FALSE	EVENT_DETAILS	EVENT_DETAILS	FALSE	FALSE
EVENT_DATE_ADDED	Datetimes	datetime	1/1/2023 16:00:00	EVENT_DATE_ADDED	TRUE	FALSE	EVENT_DETAILS	EVENT_DETAILS	FALSE	FALSE
EVENT_LAST_UPDATED	Datetimes	datetime	1/1/2023 16:00:00	EVENT_LAST_UPDATED	TRUE	FALSE	EVENT_DETAILS	EVENT_DETAILS	FALSE	FALSE
Event Operating Hours										
EVENT_HOURS_ID	Unique identifiers	CHAR(36)	783	EVENT_HOURS_ID	TRUE	FALSE	EVENT_OPER_HRS	EVENT_OPER_HRS	TRUE	FALSE
DAY_OF_WEEK	Enum type (Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday)	enum	Monday	DAY_OF_WEEK	TRUE	FALSE	EVENT_OPER_HRS	EVENT_OPER_HRS	TRUE	FALSE
OPEN_TIME	Times	time	6:00 AM	OPEN_TIME	TRUE	FALSE	EVENT_OPER_HRS	EVENT_OPER_HRS	FALSE	FALSE
CLOSE_TIME	Times	time	6:00 PM	CLOSE_TIME	TRUE	FALSE	EVENT_OPER_HRS	EVENT_OPER_HRS	FALSE	FALSE
User										
USER_ID	Unique identifiers	CHAR(36)	860	USER_ID	TRUE	FALSE	USER	USER	TRUE	FALSE
USER_EMAIL	Valid e-mails	varchar(255)	abc@gmail.com	USER_EMAIL	TRUE	FALSE	USER	USER	FALSE	FALSE
USER_DISPLAY_NAME	Display names	varchar(50)	JohnnyAppleseed	USER_DISPLAY_NAME	TRUE	FALSE	USER	USER	FALSE	FALSE
USER_PASSWORD	Hashed password	varchar(255)	password	USER_PASSWORD	TRUE	FALSE	USER	USER	FALSE	FALSE
USER_FIRST_NAME	First names	varchar(50)	Johnny	USER_FIRST_NAME	TRUE	FALSE	USER	USER	FALSE	FALSE
USER_LAST_NAME	Last names	varchar(50)	Appleseed	USER_LAST_NAME	TRUE	FALSE	USER	USER	FALSE	FALSE
USER_AGE	Integers representing ages	tinyint	37	USER_AGE	TRUE	FALSE	USER	USER	FALSE	FALSE
USER_TYPE	Type of users	enum	Event Host	USER_TYPE	FALSE	FALSE	USER	USER	FALSE	FALSE
MEDIA_ID	Reference to MEDIA_ID in the Media table	CHAR(36)	320	MEDIA_ID	TRUE	FALSE	USER	USER	FALSE	TRUE
CREATED_AT	Dates users created their accounts	datetime	1/1/2023 16:00:00	CREATED_AT	TRUE	FALSE	USER	USER	FALSE	FALSE
LAST_LOGIN	Last login dates of users	datetime	1/1/2023 16:00:00	LAST_LOGIN	TRUE	FALSE	USER	USER	FALSE	FALSE
ACCOUNT_STATUS	Status of users	enum	Banned	ACCOUNT_STATUS	TRUE	FALSE	USER	USER	FALSE	FALSE
Itinerary										
ITINERARY_ID	Unique identifiers	CHAR(36)	880	ITINERARY_ID	TRUE	FALSE	ITINERARY	ITINERARY	TRUE	FALSE
USER_ID	References to USER_ID in the User table	CHAR(36)	82	USER_ID	TRUE	FALSE	ITINERARY	ITINERARY	FALSE	TRUE
ITINERARY_DATE_CREATED	Datetimes	datetime	1/1/2023 16:00:00	ITINERARY_DATE_CREATED	TRUE	FALSE	ITINERARY	ITINERARY	FALSE	FALSE
ITINERARY_LAST_UPDATED	Datetimes	datetime	1/1/2023 16:00:00	ITINERARY_LAST_UPDATED	TRUE	FALSE	ITINERARY	ITINERARY	FALSE	FALSE
ITINERARY_NAME	Name of the itinerary	varchar(100)	Lorem Ipsum	ITINERARY_NAME	TRUE	FALSE	ITINERARY	ITINERARY	FALSE	FALSE
START_DATE	Dates of when users plan to begin their trip	date	1/1/2023 16:00:00	START_DATE	TRUE	FALSE	ITINERARY	ITINERARY	FALSE	FALSE
END_DATE	Dates of when users plan to end their trip	date	1/1/2023 16:00:00	END_DATE	TRUE	FALSE	ITINERARY	ITINERARY	FALSE	FALSE
BUDGET	Currency values	decimal(10,2)	$5,000.00	BUDGET	TRUE	FALSE	ITINERARY	ITINERARY	FALSE	FALSE
PRIVACY_SETTING	Enum type (PUBLIC, PRIVATE)	enum	Public	PRIVACY_SETTING	TRUE	FALSE	ITINERARY	ITINERARY	FALSE	FALSE
STATUS	Enum type (VISITED, NOT_VISITED, CANCELLED, POSTPONED)	enum	Visited	STATUS	TRUE	FALSE	ITINERARY	ITINERARY	FALSE	FALSE
NOTES	Textual notes	text	Lorem Ipsum	NOTES	TRUE	FALSE	ITINERARY	ITINERARY	FALSE	FALSE
Activity Itinerary Item										
